function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_a64l	c:@F@p101_a64l	XSI	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	a64l	c:@F@a64l
p101_ffs	c:@F@p101_ffs	XSI	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix_xsi/src/strings.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_strings.h	yes	yes	yes	ffs	c:@F@ffs
p101_isalnum_l	c:@F@p101_isalnum_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isalnum_l	c:@F@isalnum_l
p101_isalpha_l	c:@F@p101_isalpha_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isalpha_l	c:@F@isalpha_l
p101_isblank_l	c:@F@p101_isblank_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isblank_l	c:@F@isblank_l
p101_iscntrl_l	c:@F@p101_iscntrl_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	iscntrl_l	c:@F@iscntrl_l
p101_isdigit_l	c:@F@p101_isdigit_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isdigit_l	c:@F@isdigit_l
p101_isgraph_l	c:@F@p101_isgraph_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isgraph_l	c:@F@isgraph_l
p101_islower_l	c:@F@p101_islower_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	islower_l	c:@F@islower_l
p101_isprint_l	c:@F@p101_isprint_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isprint_l	c:@F@isprint_l
p101_ispunct_l	c:@F@p101_ispunct_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	ispunct_l	c:@F@ispunct_l
p101_isspace_l	c:@F@p101_isspace_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isspace_l	c:@F@isspace_l
p101_isupper_l	c:@F@p101_isupper_l	POSIX	libraries/lib_text/src/text.c	libraries/lib_text/include/p101_text/text.h	libraries/lib_posix/src/ctype.c	libraries/lib_posix/include/p101_posix/p101_ctype.h	yes	yes	yes	isupper_l	c:@F@isupper_l
